0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
103,114,135,77,60,133,104,135,77,88,77,135,31,114,102,76,77,119,88,40,113,87,135,119,114,108,86,118,88,118,77,135,6,60,71,103,31,103,104,104,30,78,105,134,76,87,76,87,97,103,134,118,134,103,87,87,76,134,134,97,114,103,87,87,76,87,97,87,76,134,38,56,38,56,38,56,38,56,38,56,119,119,119,108,108,92,87,108,116,127,117,86,86,112,113,107,127,106,126,90
114,135,77,60,133,104,135,77,88,77,135,31,114,102,76,77,119,88,40,113,87,135,119,114,108,86,118,88,118,77,135,6,60,71,103,31,103,104,104,30,78,105,134,76,87,76,87,97,103,134,118,134,103,87,87,76,134,134,97,114,103,87,87,76,87,97,87,76,134,38,56,38,56,38,56,38,56,38,56,119,119,119,108,108,92,87,108,116,127,117,86,86,112,113,107,127,106,126,90,127
135,77,60,133,104,135,77,88,77,135,31,114,102,76,77,119,88,40,113,87,135,119,114,108,86,118,88,118,77,135,6,60,71,103,31,103,104,104,30,78,105,134,76,87,76,87,97,103,134,118,134,103,87,87,76,134,134,97,114,103,87,87,76,87,97,87,76,134,38,56,38,56,38,56,38,56,38,56,119,119,119,108,108,92,87,108,116,127,117,86,86,112,113,107,127,106,126,90,127,90
77,60,133,104,135,77,88,77,135,31,114,102,76,77,119,88,40,113,87,135,119,114,108,86,118,88,118,77,135,6,60,71,103,31,103,104,104,30,78,105,134,76,87,76,87,97,103,134,118,134,103,87,87,76,134,134,97,114,103,87,87,76,87,97,87,76,134,38,56,38,56,38,56,38,56,38,56,119,119,119,108,108,92,87,108,116,127,117,86,86,112,113,107,127,106,126,90,127,90,127
60,133,104,135,77,88,77,135,31,114,102,76,77,119,88,40,113,87,135,119,114,108,86,118,88,118,77,135,6,60,71,103,31,103,104,104,30,78,105,134,76,87,76,87,97,103,134,118,134,103,87,87,76,134,134,97,114,103,87,87,76,87,97,87,76,134,38,56,38,56,38,56,38,56,38,56,119,119,119,108,108,92,87,108,116,127,117,86,86,112,113,107,127,106,126,90,127,90,127,86
133,104,135,77,88,77,135,31,114,102,76,77,119,88,40,113,87,135,119,114,108,86,118,88,118,77,135,6,60,71,103,31,103,104,104,30,78,105,134,76,87,76,87,97,103,134,118,134,103,87,87,76,134,134,97,114,103,87,87,76,87,97,87,76,134,38,56,38,56,38,56,38,56,38,56,119,119,119,108,108,92,87,108,116,127,117,86,86,112,113,107,127,106,126,90,127,90,127,86,135
104,135,77,88,77,135,31,114,102,76,77,119,88,40,113,87,135,119,114,108,86,118,88,118,77,135,6,60,71,103,31,103,104,104,30,78,105,134,76,87,76,87,97,103,134,118,134,103,87,87,76,134,134,97,114,103,87,87,76,87,97,87,76,134,38,56,38,56,38,56,38,56,38,56,119,119,119,108,108,92,87,108,116,127,117,86,86,112,113,107,127,106,126,90,127,90,127,86,135,97
135,77,88,77,135,31,114,102,76,77,119,88,40,113,87,135,119,114,108,86,118,88,118,77,135,6,60,71,103,31,103,104,104,30,78,105,134,76,87,76,87,97,103,134,118,134,103,87,87,76,134,134,97,114,103,87,87,76,87,97,87,76,134,38,56,38,56,38,56,38,56,38,56,119,119,119,108,108,92,87,108,116,127,117,86,86,112,113,107,127,106,126,90,127,90,127,86,135,97,87
77,88,77,135,31,114,102,76,77,119,88,40,113,87,135,119,114,108,86,118,88,118,77,135,6,60,71,103,31,103,104,104,30,78,105,134,76,87,76,87,97,103,134,118,134,103,87,87,76,134,134,97,114,103,87,87,76,87,97,87,76,134,38,56,38,56,38,56,38,56,38,56,119,119,119,108,108,92,87,108,116,127,117,86,86,112,113,107,127,106,126,90,127,90,127,86,135,97,87,97
88,77,135,31,114,102,76,77,119,88,40,113,87,135,119,114,108,86,118,88,118,77,135,6,60,71,103,31,103,104,104,30,78,105,134,76,87,76,87,97,103,134,118,134,103,87,87,76,134,134,97,114,103,87,87,76,87,97,87,76,134,38,56,38,56,38,56,38,56,38,56,119,119,119,108,108,92,87,108,116,127,117,86,86,112,113,107,127,106,126,90,127,90,127,86,135,97,87,97,135
