0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
173,180,135,166,173,166,159,127,78,119,127,135,30,135,152,166,19,19,30,113,152,113,96,134,172,188,135,173,189,136,18,19,119,172,158,134,19,172,172,172,172,172,135,172,172,17,135,172,19,119,172,158,134,17,48,172,188,67,172,172,172,188,67,172,188,67,127,127,67,188,67,188,188,188,188,67,172,188,67,127,127,67,188,97,188,188,97,188,188,97,158,158,158,97,188,97,188,188,97,188
180,135,166,173,166,159,127,78,119,127,135,30,135,152,166,19,19,30,113,152,113,96,134,172,188,135,173,189,136,18,19,119,172,158,134,19,172,172,172,172,172,135,172,172,17,135,172,19,119,172,158,134,17,48,172,188,67,172,172,172,188,67,172,188,67,127,127,67,188,67,188,188,188,188,67,172,188,67,127,127,67,188,97,188,188,97,188,188,97,158,158,158,97,188,97,188,188,97,188,188
135,166,173,166,159,127,78,119,127,135,30,135,152,166,19,19,30,113,152,113,96,134,172,188,135,173,189,136,18,19,119,172,158,134,19,172,172,172,172,172,135,172,172,17,135,172,19,119,172,158,134,17,48,172,188,67,172,172,172,188,67,172,188,67,127,127,67,188,67,188,188,188,188,67,172,188,67,127,127,67,188,97,188,188,97,188,188,97,158,158,158,97,188,97,188,188,97,188,188,97
166,173,166,159,127,78,119,127,135,30,135,152,166,19,19,30,113,152,113,96,134,172,188,135,173,189,136,18,19,119,172,158,134,19,172,172,172,172,172,135,172,172,17,135,172,19,119,172,158,134,17,48,172,188,67,172,172,172,188,67,172,188,67,127,127,67,188,67,188,188,188,188,67,172,188,67,127,127,67,188,97,188,188,97,188,188,97,158,158,158,97,188,97,188,188,97,188,188,97,158
173,166,159,127,78,119,127,135,30,135,152,166,19,19,30,113,152,113,96,134,172,188,135,173,189,136,18,19,119,172,158,134,19,172,172,172,172,172,135,172,172,17,135,172,19,119,172,158,134,17,48,172,188,67,172,172,172,188,67,172,188,67,127,127,67,188,67,188,188,188,188,67,172,188,67,127,127,67,188,97,188,188,97,188,188,97,158,158,158,97,188,97,188,188,97,188,188,97,158,158
166,159,127,78,119,127,135,30,135,152,166,19,19,30,113,152,113,96,134,172,188,135,173,189,136,18,19,119,172,158,134,19,172,172,172,172,172,135,172,172,17,135,172,19,119,172,158,134,17,48,172,188,67,172,172,172,188,67,172,188,67,127,127,67,188,67,188,188,188,188,67,172,188,67,127,127,67,188,97,188,188,97,188,188,97,158,158,158,97,188,97,188,188,97,188,188,97,158,158,158
159,127,78,119,127,135,30,135,152,166,19,19,30,113,152,113,96,134,172,188,135,173,189,136,18,19,119,172,158,134,19,172,172,172,172,172,135,172,172,17,135,172,19,119,172,158,134,17,48,172,188,67,172,172,172,188,67,172,188,67,127,127,67,188,67,188,188,188,188,67,172,188,67,127,127,67,188,97,188,188,97,188,188,97,158,158,158,97,188,97,188,188,97,188,188,97,158,158,158,97
127,78,119,127,135,30,135,152,166,19,19,30,113,152,113,96,134,172,188,135,173,189,136,18,19,119,172,158,134,19,172,172,172,172,172,135,172,172,17,135,172,19,119,172,158,134,17,48,172,188,67,172,172,172,188,67,172,188,67,127,127,67,188,67,188,188,188,188,67,172,188,67,127,127,67,188,97,188,188,97,188,188,97,158,158,158,97,188,97,188,188,97,188,188,97,158,158,158,97,104
78,119,127,135,30,135,152,166,19,19,30,113,152,113,96,134,172,188,135,173,189,136,18,19,119,172,158,134,19,172,172,172,172,172,135,172,172,17,135,172,19,119,172,158,134,17,48,172,188,67,172,172,172,188,67,172,188,67,127,127,67,188,67,188,188,188,188,67,172,188,67,127,127,67,188,97,188,188,97,188,188,97,158,158,158,97,188,97,188,188,97,188,188,97,158,158,158,97,104,134
119,127,135,30,135,152,166,19,19,30,113,152,113,96,134,172,188,135,173,189,136,18,19,119,172,158,134,19,172,172,172,172,172,135,172,172,17,135,172,19,119,172,158,134,17,48,172,188,67,172,172,172,188,67,172,188,67,127,127,67,188,67,188,188,188,188,67,172,188,67,127,127,67,188,97,188,188,97,188,188,97,158,158,158,97,188,97,188,188,97,188,188,97,158,158,158,97,104,134,126
