filename,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc 11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
ballad.2AM - 죽어도 못 보내.wav,184,0.2918019,0.10432167,0.108865544,0.008590871,2836.1378033033243,1717093.7747069558,2685.079490900199,401873.68752581935,5941.561591569767,6155660.606161817,0.12957636573996775,0.11278633118158982,-2.6487646e-06,0.014900882,-8.1378454e-07,0.002747858,89.10290948275862,0.48172453,0.078224376,0.6074355,0.018697616,0.53027743,0.02548104,0.43229297,0.022158511,0.4343488,0.02147017,0.5294421,0.01790025,0.4647423,0.024117509,0.53448915,0.013635168,0.5350938,0.025383439,0.57583624,0.016674357,0.49339908,0.01679672,0.37012807,0.011588749,0.48480755,0.01948729,0.38286176,0.008928476,0.33759955,0.0117399935,0.35752064,0.012576754,0.40805715,0.020803677,0.3313286,0.016425576,0.43499058,0.018255956,0.34360877,0.021775046,ballad
ballad.8Eight - 잘가요 내사랑.wav,279,0.2589279,0.10043244,0.11630986,0.0039614476,3104.4340324364434,1303412.482583129,2675.721853533491,192533.16037866642,6283.423220949762,3232954.020388458,0.1450929276999501,0.12404097003140702,-0.00013249293,0.012090128,-3.682989e-05,0.0029730257,123.046875,0.5932852,0.026760975,0.5859484,0.020269766,0.49789134,0.022113662,0.44812965,0.019797798,0.53275853,0.024753302,0.58882874,0.017108703,0.5923449,0.02068318,0.5142888,0.017541632,0.5772717,0.019044628,0.5404032,0.018599326,0.56886375,0.013574796,0.518823,0.018347751,0.4458326,0.017464057,0.42392603,0.0142866615,0.4176519,0.012020602,0.33447376,0.011836692,0.40230373,0.013198573,0.3381015,0.018283626,0.38573992,0.018970594,0.46553308,0.016888617,ballad
ballad.A For You - BGH4.wav,187,0.2430333,0.098787524,0.046254423,0.0010743511,2761.526349467554,1234737.6532982928,2477.6045942274054,308215.43578353693,5403.220530127698,4839618.307392355,0.13188367517059554,0.11449037139409236,-5.160559e-05,0.0020019389,-1.5766633e-05,0.00059871137,112.34714673913044,0.6053964,0.05646625,0.59390384,0.020492349,0.4840529,0.022974597,0.48833668,0.021482201,0.54738635,0.02132088,0.5582234,0.022348257,0.44386265,0.018300863,0.5285091,0.021728504,0.5554266,0.016653592,0.5311038,0.02120606,0.48285654,0.024763547,0.37877786,0.013949262,0.39306325,0.013183081,0.38771808,0.020584509,0.41405013,0.015800362,0.40585625,0.018537365,0.3753517,0.024146238,0.41484466,0.022359606,0.457084,0.022831416,0.49275824,0.024228236,ballad
ballad.After Rain-사랑하지 말것을.wav,282,0.36019766,0.15140392,0.09204608,0.006125755,2103.9983726310206,1922226.7685493813,2243.206571181052,490916.8337346962,4362.5435542378045,8037644.995882461,0.08235346268075651,0.07557136986524582,-0.0035412465,0.0123413475,-1.6929862e-05,0.0011452475,129.19921875,0.47129396,0.088400126,0.5796888,0.0145365,0.48241502,0.020367067,0.44133696,0.01898416,0.5032181,0.018117148,0.54832,0.014977129,0.538277,0.026747577,0.5075477,0.0121690985,0.5875703,0.020464562,0.50189745,0.017147973,0.5271498,0.020750256,0.5135361,0.015202404,0.4934249,0.022120824,0.54549474,0.018754495,0.47839096,0.016952481,0.33732754,0.01098815,0.3727229,0.014529355,0.33408117,0.018514358,0.331327,0.018328266,0.38581142,0.018811798,ballad
ballad.Jey(제이와이)-애원(哀願)(feat.kai).wav,212,0.2541497,0.11620065,0.11556469,0.0039129844,2877.051991176149,2176644.573118932,2747.2343985663747,313330.38140329317,6038.411059794491,7284082.761253173,0.1305642670711543,0.11351723923532671,0.0030434341,0.013481594,3.5045658e-05,0.0017818593,89.10290948275862,0.6257712,0.043916136,0.57437044,0.019395428,0.46645403,0.019313127,0.37166604,0.018516356,0.46617287,0.022026565,0.5186833,0.021031726,0.49480382,0.02007899,0.5085272,0.021731157,0.53712344,0.023930142,0.5596441,0.01696581,0.46227792,0.024621477,0.50705177,0.017168783,0.45312452,0.02067353,0.39116427,0.024728935,0.46623695,0.032143172,0.39319354,0.028297478,0.49596453,0.02282058,0.41949418,0.021688204,0.5043177,0.018515853,0.4130378,0.0230391,ballad
ballad.MC태현 - 사랑하는 사람을 잊는다는건 Part1.wav,228,0.34301233,0.122757144,0.08966425,0.0040021637,1730.0712694729816,1394386.4389346652,2024.2280104073823,252886.410628494,3250.7856965815354,4891437.572242358,0.07500277619138271,0.06937735975496809,0.0029931332,0.008251609,0.00013865992,0.002028026,161.4990234375,0.5005381,0.05645902,0.6101585,0.031273652,0.47298864,0.015085174,0.47200343,0.021012066,0.55300534,0.016771642,0.48060617,0.026205497,0.45975828,0.02478792,0.47648013,0.015076917,0.4511727,0.024086026,0.57552725,0.01775477,0.5246543,0.020912865,0.5453069,0.016056644,0.48785546,0.019666217,0.5350493,0.01883731,0.46584222,0.01459393,0.45872587,0.020286078,0.5322738,0.014932217,0.49989232,0.014798189,0.52177775,0.016987918,0.49737403,0.016869545,ballad
ballad.거리에서 - 성시경.wav,254,0.25534588,0.099846184,0.10388954,0.005215602,2631.3142557294623,1470139.2767506307,2564.3206936617344,235961.78549149574,5457.694189292858,4944107.470656886,0.11888470810157746,0.10475113428118046,-7.335776e-05,0.01322737,-1.7641882e-05,0.0012935483,129.19921875,0.5421345,0.059067175,0.60122573,0.020032622,0.500116,0.019064099,0.50750357,0.014939957,0.5082189,0.01785466,0.50646955,0.022801455,0.49526253,0.027018491,0.51537085,0.018830312,0.52271676,0.025068387,0.4735631,0.026726197,0.54978824,0.016430527,0.53789026,0.022487948,0.5212282,0.015463294,0.37601864,0.014267876,0.37071484,0.013699454,0.33366144,0.014718993,0.36800683,0.018626714,0.40575847,0.029130923,0.39400807,0.024528634,0.35024065,0.023166088,ballad
ballad.고맙습니다 - HUN.wav,199,0.24136612,0.098807864,0.099392824,0.004672242,3043.3599535888948,1183809.0249003924,2727.5378458368546,158558.5475295907,6516.771808382663,2237966.4324221993,0.12753629307589492,0.1112707870243543,-0.0001214775,0.012093149,-2.0637513e-05,0.0011347729,143.5546875,0.5578566,0.05047729,0.5701348,0.018132973,0.5230552,0.02119431,0.3835529,0.016713893,0.50085944,0.020905335,0.47071734,0.020360762,0.562068,0.026143778,0.560908,0.013664039,0.5271257,0.0266239,0.538221,0.01899737,0.5516969,0.025702246,0.5497349,0.018502936,0.5176118,0.021166693,0.5053256,0.022605896,0.42399216,0.015643911,0.32814315,0.015231412,0.3349822,0.02442531,0.3490516,0.034020063,0.40804654,0.036034755,0.3990582,0.029150289,ballad
ballad.고현욱-헤어지지말자.wav,306,0.22715329,0.098325446,0.10401936,0.0036281084,2776.5519166824442,1043294.5141652307,2716.6007755595756,169511.27046747663,6037.396086294308,3207231.4005458886,0.10398282457203455,0.09317039676605589,-5.1666288e-05,0.012063954,-1.923256e-05,0.0011077472,129.19921875,0.5790937,0.041076567,0.6292719,0.012824148,0.47108322,0.021985443,0.4438655,0.018176874,0.54771143,0.020554371,0.5036008,0.0169847,0.5102556,0.02313415,0.47369325,0.016795872,0.5207458,0.022797255,0.5245333,0.01576627,0.5031864,0.022481844,0.43110287,0.010772619,0.4035104,0.011796627,0.47241756,0.009382869,0.3871635,0.012962551,0.35651198,0.008991878,0.3851121,0.011033127,0.39942738,0.018387962,0.35425767,0.018904135,0.33604875,0.023236083,ballad
ballad.그녀가 울고 있네요 - Gavy NJ.wav,212,0.23346324,0.09755597,0.09395607,0.00446905,2619.4858858624016,1313837.4668282217,2326.6191453115384,247846.3247171088,5065.608459206127,4329698.04472625,0.13189084848236707,0.1144956525689684,-5.0804458e-05,0.008682076,-9.762592e-06,0.002137909,107.666015625,0.5601842,0.053402964,0.5979109,0.01606521,0.4557241,0.026949802,0.38100308,0.016078023,0.46635422,0.023451438,0.52501214,0.01754535,0.5295048,0.023356747,0.48342878,0.020578261,0.545634,0.029996943,0.5056592,0.018351356,0.49275142,0.024717426,0.4332881,0.017554693,0.4037339,0.015575483,0.4331622,0.024336757,0.48868558,0.017508833,0.41765624,0.025766505,0.4161441,0.02465135,0.42318538,0.027504124,0.46202415,0.021557445,0.4050333,0.01993793,ballad
